fid,X,Y,drn_id,value
286,22248.5416,6672.948,6750,1.0
287,22278.5416,6672.948,6750,1.0
288,23868.5416,6672.948,72896,1.0
289,24588.5416,6672.948,72896,1.0
290,22218.5416,6642.948,6750,1.0
291,23628.5416,6642.948,72896,1.0
292,23658.5416,6642.948,72896,1.0
293,23838.5416,6642.948,72896,1.0
294,24588.5416,6642.948,72896,1.0
295,22158.5416,6612.948,6750,1.0
296,22188.5416,6612.948,6750,1.0
297,23358.5416,6612.948,72896,1.0
298,23388.5416,6612.948,72896,1.0
299,23538.5416,6612.948,72896,1.0
300,23568.5416,6612.948,72896,1.0
301,23598.5416,6612.948,72896,1.0
302,23688.5416,6612.948,72896,1.0
303,23718.5416,6612.948,72896,1.0
304,23748.5416,6612.948,72896,1.0
305,23778.5416,6612.948,72896,1.0
306,23808.5416,6612.948,72896,1.0
307,24588.5416,6612.948,72896,1.0
308,22128.5416,6582.948,6750,1.0
309,23418.5416,6582.948,72896,1.0
310,23448.5416,6582.948,72896,1.0
311,23478.5416,6582.948,72896,1.0
312,23508.5416,6582.948,72896,1.0
313,24588.5416,6582.948,72896,1.0
314,24588.5416,6552.948,72896,1.0
315,24588.5416,6522.948,72896,1.0
316,24588.5416,6492.948,72896,1.0
317,24588.5416,6462.948,72896,1.0
318,24588.5416,6432.948,72896,1.0
319,23208.5416,6312.948,142222,1.0
320,23238.5416,6282.948,142222,1.0
321,23238.5416,6252.948,142222,1.0
322,23268.5416,6222.948,142222,1.0
323,23268.5416,6192.948,142222,1.0
324,23268.5416,6162.948,142222,1.0
325,23268.5416,6132.948,142222,1.0
326,23268.5416,6102.948,142222,1.0
327,23268.5416,6072.948,142222,1.0
328,23268.5416,6042.948,142222,1.0
329,23268.5416,6012.948,142222,1.0
330,23268.5416,5982.948,142222,1.0
331,23268.5416,5952.948,142222,1.0
332,23268.5416,5922.948,142222,1.0
333,23268.5416,5892.948,142222,1.0
334,23268.5416,5862.948,142222,1.0
335,23268.5416,5832.948,142222,1.0
336,23268.5416,5802.948,142222,1.0
337,23268.5416,5772.948,142222,1.0
